platform,brand,product_name,category,price,rating,ram,storage,battery,url
Croma,Vivo,Vivo vivo-68-fe,Smartphone,26216,4.6,16GB,512GB,5000mAh,https://croma.com/vivo-vivo-model-68
Reliance Digital,Apple,Apple iPhone 12,Smartphone,42356,4.0,4GB,128GB,4000mAh,https://reliancedigital.com/apple-iphone-12
Myntra,Vivo,Vivo Vivo Y21,Smartphone,42332,3.8,12GB,512GB,4000mAh,https://myntra.com/vivo-vivo-y21
Croma,Xiaomi,Xiaomi Redmi Note 11,Smartphone,72791,4.6,4GB,512GB,5500mAh,https://croma.com/xiaomi-redmi-note-11
Myntra,Vivo,Vivo Vivo V29,Smartphone,74376,4.1,16GB,512GB,5500mAh,https://myntra.com/vivo-vivo-v29
Flipkart,OnePlus,OnePlus OnePlus Nord 2T,Smartphone,41544,4.0,8GB,256GB,5500mAh,https://flipkart.com/oneplus-oneplus-nord-2t
Croma,Samsung,Samsung samsung-51,Smartphone,42648,4.3,6GB,64GB,5000mAh,https://croma.com/samsung-samsung-model-51
Flipkart,Apple,Apple iPhone 11,Smartphone,9675,4.6,8GB,512GB,5000mAh,https://flipkart.com/apple-iphone-11
Flipkart,Motorola,Motorola Moto G54,Smartphone,14953,4.6,8GB,128GB,4500mAh,https://flipkart.com/motorola-moto-g54
Reliance Digital,Vivo,Vivo vivo-18-ultra,Smartphone,42793,4.1,12GB,512GB,4500mAh,https://reliancedigital.com/vivo-vivo-model-18
Reliance Digital,Samsung,Samsung Galaxy A54,Smartphone,44264,4.4,4GB,128GB,4500mAh,https://reliancedigital.com/samsung-galaxy-a54
Myntra,Vivo,Vivo vivo-79-pro,Smartphone,32301,4.2,12GB,512GB,6000mAh,https://myntra.com/vivo-vivo-model-79
Myntra,Oppo,Oppo Oppo Reno 8,Smartphone,13996,3.7,8GB,128GB,6000mAh,https://myntra.com/oppo-oppo-reno-8
Croma,Apple,Apple apple-18-ultra,Smartphone,64370,4.5,4GB,256GB,4000mAh,https://croma.com/apple-apple-model-18
Flipkart,Oppo,Oppo oppo-19-ultra,Smartphone,31839,4.1,4GB,128GB,5000mAh,https://flipkart.com/oppo-oppo-model-19
Flipkart,Xiaomi,Xiaomi Redmi Note 12,Smartphone,64461,4.0,8GB,128GB,6000mAh,https://flipkart.com/xiaomi-redmi-note-12
